@relation 'academic-weka.filters.unsupervised.attribute.Remove-R1-15,21-24,27-30,33-36-weka.filters.supervised.instance.SMOTE-C0-K5-P277.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P200.0-S2-weka.filters.supervised.instance.SMOTE-C0-K5-P140.0-S3-weka.filters.supervised.instance.SMOTE-C0-K5-P300.0-S3-weka.filters.supervised.instance.SMOTE-C0-K5-P175.0-S3-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S4'

@attribute debtor numeric
@attribute tuitionfeesuptodate numeric
@attribute gender numeric
@attribute scholarshipholder numeric
@attribute ageatenrollment numeric
@attribute curricularunits1stsem(approved) numeric
@attribute curricularunits1stsem(grade) numeric
@attribute curricularunits2ndsem(approved) numeric
@attribute curricularunits2ndsem(grade) numeric
@attribute target {Dropout,Enrolled,Graduate}

@data
0,1,0,0,33,6,11,5,11,Graduate
0,1,0,1,22,7,13.08,7,13.08,Graduate
0,1,0,1,25,4,10.5,5,11.6,Graduate
0,1,1,0,20,6,10.666667,5,11.2,Graduate
0,1,1,0,23,4,14,5,13.8,Enrolled
1,1,1,0,18,2,10,0,0,Enrolled
0,1,1,0,24,0,0,0,0,Dropout
0,0,0,0,21,6,14,6,13.5,Graduate
0,1,0,0,26,2,12,0,0,Dropout
0,1,0,0,39,3,12.666667,0,0,Dropout
0,1,0,0,44,8,11.875,6,12.333333,Graduate
0,1,1,0,19,5,14,3,13.25,Enrolled
0,1,0,0,18,6,13.666667,6,13.333333,Graduate
0,1,0,1,18,7,13.75,8,14.477778,Graduate
0,1,0,0,19,5,14.2,5,13.8,Enrolled
1,0,0,0,19,4,11.96,0,0,Dropout
0,1,0,0,21,8,12.875,5,13.4,Dropout
0,1,0,0,20,0,0,0,0,Graduate
0,1,0,0,36,0,0,0,0,Dropout
0,1,0,0,43,18,14.631579,13,14.230769,Graduate
0,1,0,0,19,0,0,0,0,Dropout
1,1,0,0,20,10,13,11,12.272727,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,20,4,14.2,4,13.25,Dropout
0,1,0,0,20,6,13.266667,5,12.3,Dropout
0,1,0,0,20,6,11.666667,3,13,Enrolled
0,1,0,0,18,6,13.857143,6,15,Graduate
0,1,0,1,18,3,13,3,11,Enrolled
0,1,0,0,19,5,13.4,5,12.8,Graduate
0,1,0,0,18,6,12.666667,6,12.571429,Graduate
0,1,0,0,18,6,12.516667,6,12.516667,Dropout
0,1,0,0,20,6,11.616667,7,13,Enrolled
0,1,0,1,20,2,10,4,10.75,Enrolled
0,1,0,0,20,3,10.333333,3,10.666667,Enrolled
0,1,0,0,18,5,13.142857,5,11.4,Graduate
0,1,0,0,18,5,12.6,5,14,Graduate
0,1,0,0,21,3,11,2,11,Dropout
0,1,0,0,19,5,10.8,4,11.25,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,1,19,5,12.8,5,14.2,Graduate
0,1,0,0,19,6,14.166667,6,12.2,Graduate
0,1,0,0,19,5,12.1,0,0,Dropout
0,1,0,0,20,6,14.166667,5,13.777778,Graduate
0,1,0,1,18,5,12.8,5,13.4,Enrolled
0,1,0,0,18,6,13,6,13.666667,Graduate
0,1,0,0,19,7,13.467143,8,15.011111,Graduate
0,1,0,1,18,7,13.2375,7,13.742857,Dropout
0,1,0,0,18,6,12.333333,6,13,Graduate
0,1,0,0,19,5,12.4,5,14.6,Graduate
0,1,0,0,19,5,14,0,0,Dropout
0,1,0,0,20,9,11.666667,7,11.714286,Graduate
1,0,0,1,19,5,12,4,12.5,Dropout
0,1,0,0,20,4,12.2,4,11.5,Graduate
1,1,0,1,18,6,14.833333,6,14.833333,Graduate
0,1,0,1,20,5,13.188,7,12.892857,Enrolled
0,1,0,0,18,7,17.125,8,17.5875,Graduate
0,1,0,0,19,6,12.666667,6,12.666667,Graduate
0,1,0,1,19,6,12.666667,5,12,Graduate
1,0,0,0,22,0,0,0,0,Enrolled
0,1,0,1,19,6,11.333333,6,11.5,Graduate
0,1,0,1,19,7,13.605,8,12.33125,Graduate
0,1,0,1,19,5,12,5,10.8,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,20,5,11.2,3,11.666667,Dropout
0,1,0,0,18,5,13.375,5,14.166667,Graduate
0,1,0,1,20,6,13.863333,7,14.178571,Graduate
0,1,0,0,18,0,0,0,0,Enrolled
0,1,0,0,19,5,12.4,5,13.4,Graduate
0,1,0,0,18,3,12.333333,5,10.833333,Enrolled
0,1,0,0,18,6,13.333333,5,11.8,Graduate
0,1,0,0,21,3,12.666667,3,10,Dropout
0,1,0,0,19,6,12,4,11.5,Dropout
0,1,0,1,18,5,10.6,5,11.8,Graduate
0,1,0,1,18,6,12.25,6,11.857143,Graduate
0,1,0,0,20,4,11,6,11.833333,Graduate
0,1,0,1,24,5,11,5,12.6,Graduate
0,1,0,0,19,6,13.166667,6,13,Dropout
0,1,0,1,18,7,12.855556,7,12.761111,Graduate
0,1,0,0,18,7,14.91875,8,15.355,Graduate
0,1,0,0,21,4,11.5,3,11,Dropout
0,1,0,0,19,5,14.2,5,14.2,Graduate
0,1,0,1,19,6,12.5,6,13,Graduate
1,1,0,0,47,0,0,0,0,Enrolled
0,1,0,0,19,5,11.666667,4,11,Graduate
0,1,0,0,29,7,14.257143,7,14.257143,Graduate
0,1,0,0,21,3,12,2,11.333333,Dropout
0,1,0,0,28,4,11.25,4,10.5,Enrolled
0,1,0,0,20,7,12.457143,8,13.5625,Graduate
0,1,0,0,19,6,11.683333,6,11.683333,Graduate
0,1,0,0,26,3,11.666667,5,12,Graduate
1,0,0,0,20,4,11.75,6,13.166667,Dropout
0,1,0,1,18,3,11.666667,4,13.5,Enrolled
0,1,0,0,27,5,13.2,5,12,Graduate
0,1,0,0,20,4,11.95,4,11.95,Dropout
0,1,0,0,18,5,12.4,5,10.4,Dropout
0,1,0,0,33,6,14.35,6,14.583333,Dropout
0,1,0,0,35,21,12.619048,19,12.789474,Graduate
0,1,0,1,26,6,12.666667,6,13.166667,Enrolled
1,0,0,0,27,5,12,0,0,Dropout
0,0,0,0,19,6,12.166667,0,0,Dropout
0,1,0,0,20,0,0,0,0,Dropout
1,0,0,0,20,3,10,3,10.571429,Dropout
1,0,0,0,21,8,11.5,4,10,Enrolled
0,1,0,1,18,6,13.05,6,13.05,Graduate
0,1,0,0,24,2,11,0,0,Dropout
0,1,0,0,20,6,11.5,6,12,Graduate
0,1,0,1,21,6,12,6,12.5,Graduate
0,1,0,0,23,2,10,1,10,Enrolled
0,1,0,0,24,0,0,0,0,Dropout
0,1,0,0,21,0,0,0,0,Dropout
0,1,0,0,18,7,12.242857,7,12.242857,Graduate
0,1,0,0,27,0,0,0,0,Dropout
0,1,0,0,18,8,12.93375,8,12.93375,Graduate
0,1,0,0,35,0,0,0,0,Dropout
0,1,0,0,18,7,12.571429,7,14.428571,Graduate
0,1,0,0,35,3,11.816667,3,11.333333,Enrolled
0,1,0,0,19,4,13.75,4,14.333333,Graduate
0,1,0,0,20,6,11.166667,6,11.333333,Graduate
0,1,0,0,18,7,12.324286,7,12.324286,Graduate
1,1,0,0,21,6,12.166667,6,11.714286,Graduate
0,1,0,1,18,5,11.142857,4,11.25,Graduate
0,1,0,0,18,4,11,4,10.75,Graduate
0,1,0,0,18,7,12.914286,7,12.914286,Graduate
0,1,0,1,18,6,13.833333,6,14.166667,Graduate
0,1,0,0,19,6,13.857143,5,13.4,Graduate
0,1,0,1,36,6,13.714286,5,12.8,Dropout
0,1,0,1,18,7,12.642857,7,12.642857,Graduate
0,1,0,1,18,6,12.916667,6,12.916667,Graduate
0,1,0,1,20,6,15.625,6,15.857143,Graduate
0,1,0,1,26,0,0,0,0,Dropout
0,1,0,0,21,6,11.714286,6,12,Graduate
0,1,0,0,25,6,12.125,8,13.3125,Enrolled
0,1,0,1,19,5,11.6,5,11.6,Graduate
0,1,0,0,24,1,10,0,0,Dropout
0,1,0,1,27,1,10,0,0,Dropout
0,1,0,0,21,0,0,2,13.5,Dropout
0,1,0,1,18,4,13,3,12.333333,Graduate
0,1,0,1,19,6,13.333333,6,14.5,Graduate
0,1,0,0,18,4,11.25,2,12.5,Dropout
0,1,0,1,19,5,13.85,7,12.192857,Graduate
0,1,0,1,19,6,13.741667,7,14.9125,Graduate
0,1,0,0,33,6,15.333333,5,15.8,Graduate
0,1,0,0,45,5,11,5,13.8,Graduate
0,1,0,1,20,6,12,6,12.857143,Graduate
0,1,0,0,28,0,0,0,0,Dropout
0,1,0,1,19,7,11.571429,7,11.571429,Graduate
0,1,0,0,18,6,12.857143,3,12.666667,Graduate
0,1,0,0,38,0,0,0,0,Dropout
0,1,0,0,19,5,13,5,13.2,Graduate
0,1,0,1,21,5,11,5,12,Graduate
0,1,0,0,21,3,12,1,15,Dropout
0,1,0,1,22,5,12.6,6,13,Graduate
0,1,0,1,18,5,13.4,6,13.166667,Graduate
0,1,0,1,18,6,11.333333,6,11.571429,Graduate
0,0,0,0,25,4,13.5,4,14.25,Dropout
1,0,0,0,24,3,11.75,3,10.333333,Dropout
0,1,0,0,19,6,12.471429,7,11.4625,Enrolled
0,1,0,0,24,11,12.909091,9,13.555556,Enrolled
0,1,0,1,20,5,11.6,5,13.6,Graduate
0,0,0,0,25,0,0,0,0,Dropout
0,1,0,1,20,9,12.9,10,12.363636,Graduate
0,1,0,0,23,8,13.22,8,13.22,Graduate
0,1,0,1,19,7,13.151429,7,13.151429,Graduate
1,0,0,0,29,3,12.75,3,11.333333,Dropout
0,1,0,0,21,6,11.333333,4,12.25,Graduate
0,1,0,1,18,6,13.25,5,14.142857,Graduate
0,1,0,0,19,5,12.4,5,12.4,Enrolled
0,1,0,1,18,6,15,6,12.833333,Dropout
0,1,0,0,19,5,14.4,5,13,Graduate
0,1,0,0,18,1,11,0,0,Enrolled
0,1,0,0,18,5,12.4,5,10.8,Graduate
1,0,0,1,37,1,16,0,0,Dropout
0,1,0,0,29,5,13.571429,5,12.333333,Graduate
0,1,0,0,18,6,11.833333,6,12.5,Enrolled
0,1,0,1,19,5,11.666667,5,12.666667,Graduate
1,0,0,0,22,6,11.833333,2,13,Dropout
0,1,0,1,20,6,11.166667,5,10.6,Graduate
0,1,0,0,34,0,0,0,0,Dropout
1,0,0,0,30,8,11.75,6,12.166667,Dropout
0,1,0,0,18,6,14,6,14,Graduate
0,1,0,0,18,6,12.833333,6,12,Graduate
0,1,0,0,18,4,12.25,3,11.666667,Graduate
0,1,0,0,18,7,14.828571,7,14.828571,Graduate
0,1,0,1,19,5,11.4,5,12.8,Graduate
0,1,0,1,19,6,13,6,12.5,Graduate
0,1,0,1,18,7,13.671429,7,13.671429,Graduate
0,1,0,1,21,6,12.666667,5,12.8,Graduate
0,0,0,0,20,2,10,1,13,Dropout
0,1,0,0,20,5,13.5,5,12.333333,Graduate
0,1,0,0,19,7,12.67,8,13.55,Graduate
0,1,0,0,20,6,14.5,6,15.428571,Graduate
0,1,0,0,18,7,13.685714,8,15.3875,Graduate
0,1,0,0,20,5,11,3,10.666667,Dropout
1,0,0,0,29,7,11.555556,5,13.2,Dropout
0,1,0,1,18,7,13.797143,8,13.775,Enrolled
0,1,0,1,20,7,14.00375,7,13.812857,Graduate
0,1,0,1,22,4,12,4,11.4,Graduate
0,1,0,1,47,5,14.166667,6,14.166667,Graduate
0,1,0,0,31,5,14,5,13.8,Graduate
0,1,0,1,21,5,13.8,6,12.833333,Graduate
0,1,0,0,21,5,12.8,6,11.857143,Graduate
0,1,0,0,24,6,12.166667,6,13.833333,Graduate
0,1,0,0,18,6,12.5,6,12.333333,Enrolled
0,1,0,0,32,4,12,4,11.5,Graduate
0,1,0,1,19,6,10.833333,6,11.5,Graduate
0,1,0,0,24,8,13.385,8,13.385,Graduate
0,1,0,0,19,6,15.666667,6,14.5,Graduate
1,1,0,1,19,6,14.333333,6,13.833333,Graduate
0,1,0,0,24,6,11.428571,5,13,Enrolled
0,1,0,1,18,6,11.666667,6,11.666667,Graduate
0,1,0,1,19,5,12,2,11.333333,Dropout
0,1,0,1,19,7,14.725714,7,14.725714,Graduate
0,1,0,1,18,6,14.166667,6,13.666667,Graduate
0,1,0,0,18,6,11.571429,6,12.333333,Graduate
0,1,0,0,20,7,12.5,8,13.1375,Graduate
0,1,0,0,18,8,12.86,8,12.86,Graduate
0,1,0,0,18,6,12.25,6,13.714286,Graduate
0,1,0,1,21,4,12,5,12.2,Graduate
0,1,0,1,18,7,15.116667,8,16.168889,Graduate
1,0,0,0,18,2,12.5,4,10.25,Dropout
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,19,4,11,4,11,Enrolled
0,1,0,0,18,6,11.875,4,14.6,Graduate
0,1,0,0,34,1,11,0,0,Dropout
0,1,0,0,19,5,15.2,5,13.2,Graduate
1,0,0,0,19,5,11.6,2,11,Dropout
1,1,0,0,26,6,14.833333,6,15.142857,Graduate
0,1,0,0,21,3,11.333333,3,11.333333,Dropout
0,1,0,1,18,5,11.2,5,11.8,Graduate
0,1,0,1,20,5,13.4,5,13.666667,Graduate
0,1,0,0,25,2,10.5,0,0,Dropout
0,1,0,0,18,5,16.2,5,16.4,Graduate
0,1,0,1,18,7,14.542857,8,14.881818,Graduate
0,1,0,0,19,7,13.694286,8,14.355556,Graduate
0,1,0,1,18,6,11.285714,6,11.857143,Graduate
0,1,0,0,20,6,11.757143,6,13.083333,Enrolled
1,0,0,0,26,0,0,0,0,Dropout
0,1,0,1,19,7,13.058571,7,13.058571,Graduate
0,1,0,0,19,7,14.3,8,14.055556,Graduate
0,1,0,0,19,5,11.8,8,12,Graduate
0,1,0,0,19,3,10.333333,3,13,Enrolled
0,1,0,0,18,6,10.571429,3,11.666667,Graduate
0,1,0,0,19,6,13.333333,6,13.333333,Graduate
1,1,0,0,18,6,11.857143,5,11,Graduate
0,1,0,0,18,5,12.6,5,11.4,Enrolled
0,1,0,0,18,5,14,5,11.6,Enrolled
0,1,0,0,18,5,12,6,12.666667,Enrolled
1,1,0,0,26,0,0,0,0,Dropout
0,1,0,0,20,6,12,6,13,Graduate
0,1,0,0,19,6,12.666667,6,11.666667,Graduate
0,1,0,1,18,6,12.166667,6,13.666667,Graduate
0,1,0,0,19,6,13.333333,6,14.666667,Graduate
1,1,0,0,40,7,15,7,14.571429,Graduate
0,1,0,1,18,8,13.39125,8,13.39125,Graduate
0,1,0,0,19,5,12.166667,6,12.428571,Graduate
0,1,0,0,18,4,11.25,4,12.5,Graduate
0,1,0,0,19,4,12,3,12,Enrolled
0,1,0,0,18,0,0,0,0,Dropout
0,1,0,0,33,6,12.833333,6,12.857143,Graduate
0,1,0,0,35,6,14,6,13.1,Graduate
0,1,0,0,26,4,13,2,12,Enrolled
0,1,0,0,18,6,13.5,6,12.5,Graduate
0,1,0,0,36,13,10.692308,9,12.307692,Enrolled
0,1,0,0,39,5,11,5,11.666667,Graduate
0,1,0,0,44,6,13,6,13.833333,Graduate
0,1,0,0,20,5,12,4,11.25,Enrolled
0,1,0,0,24,4,12.6,4,11.5,Dropout
0,1,0,1,20,6,13.666667,6,13.333333,Graduate
0,0,0,0,19,0,0,0,0,Dropout
1,1,0,1,18,6,14.2,6,14.2,Graduate
1,0,0,0,22,5,11,0,0,Dropout
0,1,0,0,18,6,15,6,16.428571,Graduate
0,1,0,0,24,6,12.585714,7,13.442857,Graduate
0,1,0,0,33,0,0,0,0,Dropout
1,1,0,1,30,0,0,0,0,Enrolled
0,1,0,0,26,0,0,0,0,Dropout
0,1,0,0,18,6,11.666667,6,11.833333,Graduate
1,1,0,0,19,3,12.666667,2,10,Dropout
0,1,0,0,20,3,10.333333,4,11,Enrolled
0,1,0,1,22,8,13.5,7,13.714286,Graduate
0,1,0,0,19,5,13.98,5,13.98,Enrolled
0,1,0,1,21,6,16.153846,6,15.75,Graduate
0,1,0,1,21,6,14.033333,6,14.033333,Graduate
0,1,0,0,19,1,11,5,11.2,Enrolled
0,1,0,1,19,7,13.857143,6,13.666667,Graduate
0,1,0,0,18,7,13.414286,7,13.414286,Dropout
0,1,0,0,50,11,13.545455,7,13.571429,Graduate
0,1,0,1,31,4,11.25,4,10.833333,Enrolled
0,1,0,1,19,6,13.833333,6,14.428571,Graduate
0,1,0,0,35,5,12,5,12.857143,Graduate
0,1,0,0,31,0,0,0,0,Dropout
1,1,0,0,42,10,11.9,10,12.8,Enrolled
0,0,0,0,34,0,0,0,0,Dropout
0,1,0,1,18,7,15.135714,8,15.2875,Graduate
0,0,0,1,18,7,12.285714,6,13.333333,Enrolled
0,1,0,0,21,5,12.666667,2,13.5,Enrolled
0,1,0,1,26,5,12.74,6,10.978571,Dropout
0,1,0,0,20,6,13.25,8,13.75,Enrolled
0,1,0,0,19,3,10.333333,3,10.333333,Enrolled
0,1,0,1,19,6,13.428571,6,13.166667,Graduate
0,1,0,0,20,9,12.555556,8,11.111111,Graduate
0,1,0,0,19,6,11.5,6,11.166667,Graduate
0,1,0,0,18,6,13.666667,6,12.333333,Graduate
0,1,0,0,28,11,11.272727,10,12,Graduate
0,1,0,0,22,5,13.166667,5,12.4,Enrolled
0,1,0,1,21,6,14.666667,6,14.166667,Graduate
0,1,0,0,21,4,12.75,1,11,Enrolled
0,1,0,0,26,5,11.2,5,12.14,Enrolled
1,0,0,0,18,5,13,5,11.4,Dropout
0,0,0,0,20,2,10.5,2,12.333333,Dropout
0,1,0,0,18,6,14.857143,6,14,Graduate
0,1,0,1,19,7,12.86,7,12.86,Graduate
0,1,0,0,20,11,11.727273,11,12,Graduate
0,1,0,1,22,6,13.142857,3,12,Graduate
1,1,0,0,18,5,11.8,4,13.714286,Dropout
0,1,0,0,19,3,10.666667,0,0,Dropout
0,1,0,1,18,5,11.6,4,11.2,Enrolled
0,1,0,0,20,3,10.333333,3,10.333333,Enrolled
0,1,0,0,19,4,12.25,3,11,Enrolled
0,1,0,0,19,6,12,4,12.75,Enrolled
0,1,0,0,19,7,14.731429,7,14.731429,Graduate
0,1,0,0,18,0,0,0,0,Graduate
0,1,0,0,21,13,13.615385,12,14.25,Graduate
0,1,0,0,27,5,15.8,5,14.8,Graduate
0,1,0,0,19,6,14.666667,6,14.571429,Graduate
0,1,0,0,25,0,0,0,0,Dropout
0,1,0,1,18,7,14.654286,7,14.654286,Graduate
0,1,0,0,24,7,12.401429,7,12.401429,Graduate
0,1,0,0,20,7,11.5875,7,14.071429,Graduate
0,1,0,0,26,5,14,5,15.6,Graduate
0,1,0,1,20,6,12.333333,6,11.833333,Graduate
0,1,0,0,18,5,14,5,15.4,Graduate
0,1,0,0,19,6,15.230769,6,12.375,Graduate
0,1,0,0,23,5,11.6,3,11,Dropout
0,1,0,1,18,6,11.6,6,11.6,Graduate
0,1,0,0,18,0,0,0,0,Dropout
0,1,0,1,19,7,12.901429,8,13.094444,Graduate
0,1,0,0,30,7,14.142857,5,14.8,Graduate
0,1,0,0,29,0,0,0,0,Dropout
0,1,0,0,19,8,13.25375,8,13.25375,Graduate
0,1,0,0,20,7,13.785714,8,14.1,Graduate
0,1,0,0,20,6,13.916667,6,13.916667,Graduate
0,1,0,0,19,6,13.5,6,13.571429,Graduate
0,1,0,0,20,3,11.333333,2,10.666667,Enrolled
0,1,0,0,21,0,0,0,0,Dropout
0,1,0,0,19,5,11.5,4,14.6,Graduate
0,1,0,1,18,7,12.082857,7,12.082857,Graduate
0,1,0,1,27,6,11.833333,5,12.8,Graduate
0,1,0,1,19,5,13.4,5,12.4,Graduate
0,1,0,1,19,0,0,0,0,Dropout
0,1,0,0,19,5,14.2,6,14.571429,Graduate
0,1,0,1,18,7,13.814286,7,13.814286,Graduate
0,1,0,1,20,4,11.25,6,10.5,Enrolled
0,1,0,1,18,6,14.5,6,13.666667,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,36,6,11.3,6,11.3,Graduate
0,1,0,0,18,0,0,1,16,Enrolled
1,1,0,0,18,1,12,3,12,Enrolled
0,1,0,0,19,7,12.3,7,12.3,Graduate
0,1,0,1,18,7,12.694286,7,12.694286,Graduate
0,1,0,0,18,4,11,4,11,Graduate
0,1,0,1,19,6,13,6,14.166667,Graduate
0,1,0,1,19,7,14.4125,8,16.05,Graduate
0,1,0,0,18,7,12.92875,8,14.0625,Dropout
0,1,0,0,20,6,13.333333,5,12.8,Graduate
0,1,0,1,20,5,12.8,5,12.8,Enrolled
0,1,0,0,20,7,14.402857,7,14.402857,Graduate
0,1,0,1,18,7,13.381429,7,13.381429,Graduate
0,1,0,0,18,7,14.13125,8,13.98375,Graduate
0,1,0,0,19,5,11.714286,5,12.6,Graduate
0,1,0,0,19,5,11.8,4,11.25,Enrolled
0,1,0,0,44,6,11.166667,2,11,Graduate
0,1,0,0,32,0,0,0,0,Dropout
0,1,0,0,22,5,13.6,5,12,Dropout
0,1,0,0,36,12,13.846154,11,14.090909,Graduate
0,1,0,1,18,6,12.5,6,13.333333,Graduate
0,1,0,0,20,5,16.4,5,14.6,Graduate
0,1,0,1,20,11,13.818182,11,13.454545,Graduate
0,1,0,0,19,5,10.6,4,10.5,Graduate
1,1,0,0,24,5,10.2,5,12.2,Graduate
0,1,0,0,20,5,10.6,4,10.4,Enrolled
0,1,0,0,27,9,11.444444,5,10.8,Dropout
0,1,0,0,20,5,14.333333,8,12.625,Enrolled
0,1,0,1,23,16,13,13,13.266667,Graduate
0,1,0,1,18,8,13.31,8,13.31,Graduate
0,1,0,1,18,5,10.571429,5,12.2,Graduate
0,1,0,1,20,7,13.487143,7,13.487143,Graduate
0,1,0,1,20,6,12.333333,6,11.833333,Graduate
0,1,0,0,23,6,11.875,5,12.833333,Dropout
0,1,0,0,20,6,13.966667,6,13.966667,Graduate
0,0,0,0,28,0,0,0,0,Dropout
0,1,0,0,21,4,11.5,5,12.8,Graduate
0,1,0,0,21,2,12.5,0,0,Dropout
0,1,0,0,28,0,0,0,0,Dropout
0,1,0,0,18,6,11.98,7,13.225,Graduate
0,1,0,1,21,5,13.2,5,11.8,Enrolled
0,1,0,0,19,6,11.614286,8,14.0375,Graduate
0,1,0,1,18,7,14.314286,7,14.314286,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,20,6,12.666667,2,13,Enrolled
0,1,0,1,20,6,12.766667,7,12.128571,Graduate
0,1,0,1,18,6,12.666667,5,12.2,Graduate
0,1,0,0,20,6,11.5,4,10.571429,Dropout
0,1,0,0,31,5,11.4,4,11.75,Dropout
0,1,0,1,19,7,14.70625,8,14.4775,Graduate
